D99_index,ac,af_l,af_r,ar_l,ar_r,atr_l,atr_r,cbd_l,cbd_r,cbp_l,cbp_r,cbt_l,cbt_r,cst_l,cst_r,fa_l,fa_r,fma,fmi,fx_l,fx_r,ifo_l,ifo_r,ilf_l,ilf_r,mcp,mdlf_l,mdlf_r,or_l,or_r,slf1_l,slf1_r,slf2_l,slf2_r,slf3_l,slf3_r,str_l,str_r,uf_l,uf_r,vof_l,vof_r
0356_LEFT_Abpc,0.030643379,0.005853504,0.000755315,0.038308194,0.005238372,0.018929393,0.004366805,0.01684862,0.005399651,0.011729906,0.003460477,0.152685963,0.00254175,0.041909519,0.005271641,0.007857297,0.002397781,0.035648068,0.009097495,0.173268143,0.017299762,0.130157211,0.008758259,0.040663106,0.001560678,0.009546598,0.033379771,0.002023275,0.062795123,0.005374549,0.00160073,0.000794011,0.010291484,0.002326011,0.012081748,0.00149677,0.009113596,0.002891325,0.077056722,0.002096422,0.016945715,0.001571361
0436_LEFT_ME,0.015096776,0.003753364,0.00069634,0.051761518,0.006315701,0.019320576,0.004201565,0.010949168,0.00461964,0.005222246,0.002425097,0.055789177,0.002243204,0.067814673,0.00695888,0.005177367,0.001833771,0.034431701,0.006040786,0.25666044,0.018913795,0.134870552,0.008591617,0.039744818,0.001131896,0.007487783,0.018981541,0.001731766,0.150661442,0.006682836,0.001390441,0.00081691,0.009226366,0.002388201,0.003846891,0.001363302,0.011368775,0.003361531,0.019453444,0.001720216,0.024623526,0.001706962
0437_LEFT_AHA,0.018818269,0.003348144,0.000457634,0.016821401,0.001855921,0.008313318,0.002308046,0.009960757,0.002545698,0.005962996,0.002224609,0.215178617,0.001707746,0.021617401,0.001934165,0.003745984,0.001014096,0.01624023,0.004502397,0.081304657,0.007386359,0.066668197,0.004643964,0.039647575,0.001341296,0.004720442,0.019189274,0.001187795,0.028579367,0.00221051,0.000597897,0.000344392,0.004208536,0.00120469,0.005830466,0.000761635,0.003743825,0.001133899,0.048620322,0.001205157,0.008584635,0.000807619
0445_LEFT_Bmc,0.040793814,0.004492367,0.000844421,0.039408693,0.006217534,0.024269744,0.0069346,0.014780019,0.005965317,0.008563585,0.003411084,0.102933676,0.003669779,0.047262803,0.006021635,0.006848082,0.004114889,0.041217027,0.009060534,0.245626219,0.0265582,0.113570987,0.0111886,0.040172884,0.001903416,0.008545708,0.022661779,0.002455272,0.075865801,0.007041408,0.001765385,0.000883278,0.010973749,0.002860621,0.005857107,0.001779099,0.012344182,0.003727237,0.046973012,0.002657592,0.017436438,0.001914704
0449_LEFT_CM,0.005822798,0.068324638,0.002163215,0.130317537,0.007437777,0.011587224,0.003746523,0.020249068,0.008277843,0.004757463,0.002510899,0.002863739,0.000903207,0.061223139,0.006913641,0.046880838,0.004228934,0.024460314,0.010694331,0.020311014,0.011973346,0.060212231,0.007565925,0.012426529,0.000663631,0.001580552,0.173391311,0.004028121,0.013259646,0.002282384,0.004520244,0.001421001,0.073500453,0.005609139,0.153569521,0.00398461,0.013449414,0.003576991,0.024677835,0.001841083,0.012740533,0.001355355
0466_LEFT_Bpc,0.031863293,0.00599988,0.00080928,0.036988489,0.005027956,0.018386694,0.00435617,0.01938468,0.005856104,0.0129702,0.003659436,0.190718397,0.002802896,0.030321206,0.004953395,0.007526154,0.002420932,0.038627666,0.008904742,0.156705252,0.017506948,0.121897688,0.009152751,0.041745551,0.001658722,0.008545062,0.029426305,0.002136126,0.059322468,0.005318126,0.001612648,0.000880855,0.009602962,0.002424362,0.010555812,0.001550437,0.008290692,0.002930658,0.075557662,0.00227079,0.016067852,0.001672702
0474_LEFT_cla,0.037176337,0.01137415,0.001362974,0.047981337,0.00572587,0.034236874,0.007105647,0.021147199,0.008536782,0.016266026,0.005588548,0.025598222,0.00196278,0.036431983,0.006661223,0.031231109,0.004943992,0.026848544,0.023648213,0.065707234,0.015700232,0.202647912,0.011215017,0.028329076,0.001674344,0.003155791,0.064709006,0.002719955,0.04519945,0.003849222,0.00314738,0.001533932,0.026618852,0.004938859,0.031911233,0.003173649,0.017566593,0.004487052,0.099305678,0.002788154,0.018061847,0.001556388
0477_LEFT_PL-prime,0.027475612,0.00561925,0.000829332,0.030844955,0.005065805,0.018308911,0.003968851,0.021149714,0.005523877,0.016051136,0.004393157,0.207934154,0.002535262,0.022309503,0.00466319,0.007755767,0.002017314,0.038441727,0.009191808,0.151210826,0.016893161,0.124025663,0.00938508,0.044472326,0.001637879,0.006330944,0.030028825,0.002204514,0.05287866,0.005367155,0.001367463,0.000919997,0.008599966,0.002460215,0.009316748,0.001440825,0.007232282,0.002944539,0.088532941,0.002343463,0.014190574,0.001799317
0478_LEFT_NLOT,0.016772379,0.004328854,0.000443878,0.026601405,0.002620199,0.009966768,0.002072798,0.00872446,0.003007316,0.006340826,0.001983422,0.076509762,0.00106348,0.023354576,0.002740272,0.007734065,0.001319513,0.017597399,0.005172521,0.087939574,0.007794544,0.080905457,0.004007207,0.023301474,0.000663597,0.003625294,0.028895744,0.001095216,0.03452076,0.002404922,0.001241644,0.000479448,0.006711701,0.001366288,0.009939944,0.000872652,0.006092804,0.001568204,0.077969736,0.001031052,0.010253511,0.000788256
0479_LEFT_PAC3,0.01769795,0.003854145,0.000440559,0.026122007,0.002849158,0.010382206,0.002284539,0.011261591,0.003317523,0.006873805,0.002264442,0.111340839,0.001203621,0.034659663,0.003159144,0.006377739,0.001375008,0.019777595,0.0053765,0.098659173,0.008497434,0.080406729,0.004663524,0.02770689,0.000823507,0.006343841,0.02440364,0.001205686,0.040103012,0.002459501,0.001196916,0.000530131,0.006400311,0.001425722,0.008801354,0.000887476,0.005787754,0.001786481,0.066928087,0.001177619,0.010886998,0.000834816
0480_LEFT_PACs,0.015697904,0.003528899,0.000427789,0.019939436,0.002541778,0.008588179,0.002172887,0.013224325,0.003203196,0.005648699,0.00181035,0.181781255,0.001126181,0.021709772,0.002546773,0.004367296,0.001062811,0.022011783,0.005205854,0.084629647,0.007601795,0.074401029,0.004684098,0.035885709,0.00090445,0.005039756,0.021757249,0.001095837,0.034541605,0.00241125,0.000739322,0.000473151,0.004636655,0.001429522,0.007047251,0.000954751,0.003961405,0.001458943,0.04948898,0.001155409,0.011006692,0.000864722
0508_LEFT_PACo-Pir,0.012112415,0.003151427,0.000394684,0.018487025,0.002410589,0.008262224,0.001759307,0.008032139,0.002484556,0.005589367,0.001674417,0.082506405,0.001091148,0.012413355,0.002298916,0.00468678,0.001137785,0.017656138,0.004210741,0.072348541,0.007204704,0.068298273,0.004070525,0.020869708,0.000717162,0.003515744,0.023158299,0.001278937,0.027859789,0.002369981,0.000665053,0.000359418,0.005002815,0.001152128,0.006770926,0.000708838,0.003659677,0.001307772,0.071095932,0.001013651,0.008347344,0.000746754
0509_LEFT_PAC2,0.010644189,0.002823776,0.000274861,0.021029918,0.002083353,0.009339874,0.001327875,0.013301288,0.002151677,0.004407941,0.001535277,0.13666036,0.000743951,0.016052836,0.001460069,0.00444008,0.000562628,0.020685633,0.003751744,0.084086074,0.007985301,0.063886872,0.002974308,0.018578654,0.000471325,0.004129913,0.018387312,0.001002163,0.028352583,0.001611415,0.000956267,0.000250079,0.006574354,0.000687881,0.007494675,0.000531104,0.005746437,0.000671126,0.056733703,0.000683233,0.009406155,0.000645506
0510_LEFT_MGv,0.015303671,0.004929679,0.000951018,0.253414955,0.013544945,0.028473842,0.006718878,0.013056177,0.006322217,0.003870167,0.002177539,0.022158517,0.003122739,0.063071274,0.011799525,0.007892485,0.00315218,0.04301406,0.006633119,0.092824585,0.021917705,0.084402792,0.01236479,0.023332985,0.001738908,0.012497294,0.018161121,0.002968911,0.095045743,0.009932096,0.005804764,0.00149038,0.012598391,0.003004339,0.004783126,0.001976513,0.036611475,0.007429408,0.009656211,0.002343595,0.0188506,0.002606518
0511_LEFT_MGad,0.017842062,0.009474949,0.001393858,0.29430535,0.014289762,0.026300964,0.007188586,0.016861004,0.007339761,0.004393709,0.002365064,0.011879354,0.003158024,0.045433909,0.010036678,0.009307388,0.003116988,0.052261618,0.008035011,0.066178482,0.024209318,0.083122709,0.014449809,0.016935922,0.001703175,0.012715339,0.032191795,0.00461045,0.077064957,0.009107304,0.007392139,0.001489303,0.016061702,0.003305309,0.008566145,0.002321295,0.040483715,0.006188501,0.014344543,0.002906626,0.015835115,0.002861028
0512_LEFT_MGm,0.015185632,0.008893787,0.002177501,0.25745941,0.024084625,0.027367784,0.00990555,0.020920111,0.009432735,0.004426865,0.00303065,0.011229452,0.003398027,0.079905154,0.021667363,0.00888634,0.004736267,0.047903517,0.008413553,0.070462371,0.02654315,0.065147526,0.014950146,0.01301421,0.001696511,0.032665371,0.021350965,0.005245372,0.051483093,0.010302413,0.007428481,0.002494509,0.017757678,0.005629505,0.007901109,0.003519478,0.042366517,0.014076489,0.010939522,0.00337818,0.011630458,0.002759971
