Index-HCP_MMP_1.0,ac,af_l,af_r,ar_l,ar_r,atr_l,atr_r,cbd_l,cbd_r,cbp_l,cbp_r,cbt_l,cbt_r,cst_l,cst_r,fa_l,fa_r,fma,fmi,fx_l,fx_r,ifo_l,ifo_r,ilf_l,ilf_r,mcp,mdlf_l,mdlf_r,or_l,or_r,slf1_l,slf1_r,slf2_l,slf2_r,slf3_l,slf3_r,str_l,str_r,uf_l,uf_r,vof_l,vof_r
202,0.0209266,0.016767228,0.000753603,0.012861562,0.002090513,0.011283601,0.001415774,0.006420004,0.001205655,0.001206612,0.000347492,0.011315661,0.001473329,0.00336629,0.001010993,0.001510492,0.000247729,0.166225088,0.005287529,0.023460455,0.003625822,0.180477072,0.011690971,0.030318437,0.001944843,0.006057106,0.058246382,0.006791706,0.111910385,0.011555512,0.004956774,0.001641451,0.003136688,0.000831722,0.000906292,0.000280372,0.003149401,0.000536687,0.031535609,0.001699053,0.246441787,0.003093451
203,0.013140546,0.071308802,0.000511328,0.027604836,0.001301869,0.014614324,0.001384167,0.006787071,0.001041502,0.00100427,0.000409178,0.005611105,0.000486478,0.008925126,0.000737468,0.005542395,0.000498272,0.047466861,0.007410658,0.011790844,0.001464938,0.245733216,0.005066072,0.048696447,0.000881657,0.001000005,0.14740704,0.002986027,0.12164572,0.004520221,0.014976673,0.001358756,0.03870091,0.000714262,0.007263719,0.000351128,0.005481344,0.000577266,0.035008693,0.000927104,0.095780299,0.000945877
204,0.00360253,0.135424021,0.002237355,0.363682352,0.002016657,0.008468248,0.001232482,0.006659317,0.002860406,0.000602145,0.000242675,0.001698341,0.000317707,0.021207278,0.005824463,0.012318731,0.000691871,0.003969784,0.003167986,0.003887889,0.001600345,0.056113449,0.002362142,0.00518895,0.000498506,0.000974076,0.234800066,0.003607605,0.022703355,0.001885287,0.02103997,0.01070934,0.010216868,0.002110169,0.062340292,0.001603571,0.004455762,0.00142211,0.0245727,0.000598537,0.001662974,0.000101283
205,0.006596345,0.277221511,0.003170202,0.073764199,0.004806908,0.012096161,0.001907109,0.0092862,0.004171918,0.001007873,0.000412485,0.004771629,0.000720032,0.01308682,0.006679381,0.021415853,0.000797942,0.006065376,0.00425347,0.009512083,0.002805782,0.055605352,0.005461848,0.026378908,0.001191291,0.001719187,0.150870952,0.007625799,0.03139465,0.00505464,0.015267559,0.015764348,0.022691551,0.002892151,0.17758978,0.002507562,0.006614167,0.001764903,0.016520884,0.001310903,0.001762677,0.000199722
206,0.002471923,0.011086229,0.008591719,0.003131532,0.001181855,0.026500632,0.008007121,0.017302909,0.009439258,0.001041194,0.001451193,0.000814682,0.00032408,0.013159187,0.005895404,0.249984726,0.05425684,0.00258272,0.020158057,0.005219203,0.002506112,0.020672615,0.006843674,0.001285171,0.000967517,0.002953333,0.005214525,0.002189458,0.005913,0.002320769,0.264705588,0.038318949,0.013854146,0.02578811,0.008037307,0.010138769,0.110991607,0.026146381,0.0093055,0.002388394,0.000753766,0.000243947
207,0.019560584,0.012848906,0.013566506,0.019719064,0.028478329,0.011274606,0.00951618,0.111899202,0.033764184,0.019995542,0.00530702,0.005453598,0.004910712,0.018732203,0.024868848,0.012929054,0.003795629,0.028204694,0.010738128,0.022128797,0.022973035,0.052286631,0.042845248,0.015455672,0.009567541,0.003411919,0.035106639,0.040972161,0.037996447,0.038809417,0.140609281,0.078780936,0.005667573,0.014492154,0.004466116,0.010212271,0.011182792,0.009473831,0.014567372,0.010014704,0.001312829,0.001272021
208,0.00621985,0.339139826,0.002175486,0.046740921,0.003980581,0.009808551,0.001609343,0.006656484,0.002626014,0.000675191,0.000328087,0.005158149,0.000665259,0.009492573,0.003299758,0.020674016,0.00073413,0.008799251,0.004300677,0.007944903,0.00224112,0.069953596,0.005286093,0.057441643,0.001160279,0.001178029,0.131955862,0.005814863,0.043564333,0.004865197,0.009631034,0.009105978,0.048180088,0.002179861,0.109872329,0.001701131,0.006192569,0.001450091,0.014116373,0.001196087,0.002942972,0.000201051
209,0.025935621,0.017321915,0.009930444,0.026231593,0.030228176,0.011816621,0.008776858,0.031741639,0.016514291,0.005238174,0.00269118,0.005313613,0.004856016,0.017086235,0.012397111,0.009017744,0.002674913,0.056040638,0.008034262,0.023469419,0.023669262,0.095501408,0.060248702,0.024424601,0.011896763,0.003925394,0.042380217,0.038783223,0.072618093,0.051365505,0.143326337,0.038974554,0.006259219,0.013636396,0.005073363,0.006225901,0.013501287,0.006780986,0.020120509,0.012046088,0.002284578,0.001742367
210,0.017394846,0.010736473,0.007247123,0.015752944,0.021286367,0.013251537,0.009203611,0.250062472,0.067730159,0.058608293,0.01582594,0.013789209,0.005251215,0.006952103,0.009773725,0.008745939,0.003274503,0.056145731,0.018742878,0.016357204,0.014138728,0.056845871,0.045590942,0.01323475,0.008722928,0.002574947,0.023789774,0.028453178,0.039714073,0.037323335,0.02885166,0.030187621,0.003834912,0.00872605,0.002634276,0.004304565,0.005350824,0.005383709,0.015596732,0.01073917,0.002001693,0.001730596
211,0.013591077,0.008482732,0.002000479,0.025732605,0.006986608,0.008049346,0.003121835,0.119941382,0.015013878,0.01637442,0.003075338,0.138984351,0.004577705,0.005635082,0.002372267,0.003032376,0.000847618,0.273865601,0.006997747,0.03668488,0.007569647,0.061529983,0.025603224,0.008817773,0.004191739,0.002593277,0.039449863,0.014629439,0.066391874,0.024740162,0.01523426,0.006070794,0.002193748,0.002569867,0.001542724,0.000893463,0.00410071,0.001392081,0.012828587,0.004197102,0.010617918,0.005285452
